name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
"/model.19/m.0/m/m.0/cv1/conv/Conv + PWN(PWN(/model.19/m.0/m/m.0/cv1/act/Sigmoid), PWN(/model.19/m.0/m/m.0/cv1/act/Mul))",0.0092569,0.009248,0.575647,model.19,m.0/m/m.0/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.19/m.0/m/m.0/cv2/conv/Conv,0.00924495,0.009248,0.574905,model.19,m.0/m/m.0/cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.19/m.0/m/m.0/cv2/act/Sigmoid), PWN(/model.19/m.0/m/m.0/cv2/act/Mul)), PWN(/model.19/m.0/m/m.0/Add))",0.00664196,0.006624,0.413035,model.19,m.0/m/m.0/cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
"/model.19/m.0/m/m.1/cv1/conv/Conv + PWN(PWN(/model.19/m.0/m/m.1/cv1/act/Sigmoid), PWN(/model.19/m.0/m/m.1/cv1/act/Mul))",0.00900263,0.008992,0.559835,model.19,m.0/m/m.1/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.19/m.0/m/m.1/cv2/conv/Conv,0.00875981,0.008736,0.544735,model.19,m.0/m/m.1/cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.19/m.0/m/m.1/cv2/act/Sigmoid), PWN(/model.19/m.0/m/m.1/cv2/act/Mul)), PWN(/model.19/m.0/m/m.1/Add))",0.00687459,0.00688,0.427502,model.19,m.0/m/m.1/cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
"/model.19/m.0/cv2/conv/Conv + PWN(PWN(/model.19/m.0/cv2/act/Sigmoid), PWN(/model.19/m.0/cv2/act/Mul))",0.00821148,0.008224,0.510637,model.19,m.0/cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.19/m.0/cv3/conv/Conv + PWN(PWN(/model.19/m.0/cv3/act/Sigmoid), PWN(/model.19/m.0/cv3/act/Mul))",0.00847602,0.00848,0.527088,model.19,m.0/cv3,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.19/Split_output_0 copy,0.00612196,0.006112,0.380699,model.19,,False,False,False,False,False,other,False,PTQ
/model.19/Split_output_1 copy,0.00613787,0.006112,0.381688,model.19,,False,False,False,False,False,other,False,PTQ
"/model.19/cv2/conv/Conv + PWN(PWN(/model.19/cv2/act/Sigmoid), PWN(/model.19/cv2/act/Mul))",0.00882353,0.008768,0.548698,model.19,cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.20/conv/Conv + PWN(PWN(/model.20/act/Sigmoid), PWN(/model.20/act/Mul))",0.0108165,0.010816,0.672633,model.20,conv,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.10/cv2/act/Mul_output_0 copy,0.00613888,0.006112,0.381751,model.10,cv2,False,False,False,False,False,other,False,PTQ
"/model.22/cv1/conv/Conv + PWN(PWN(/model.22/cv1/act/Sigmoid), PWN(/model.22/cv1/act/Mul))",0.00877809,0.008736,0.545872,model.22,cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.22/m.0/m.0.0/cv1/conv/Conv + PWN(PWN(/model.22/m.0/m.0.0/cv1/act/Sigmoid), PWN(/model.22/m.0/m.0.0/cv1/act/Mul))",0.0105343,0.010528,0.655084,model.22,m.0/m.0.0/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.22/m.0/m.0.0/cv2/conv/Conv,0.00954557,0.009504,0.593599,model.22,m.0/m.0.0/cv2,True,False,False,False,False,conv-only,False,PTQ
"PWN(PWN(PWN(/model.22/m.0/m.0.0/cv2/act/Sigmoid), PWN(/model.22/m.0/m.0.0/cv2/act/Mul)), PWN(/model.22/m.0/m.0.0/Add))",0.00722689,0.007136,0.44941,model.22,m.0/m.0.0/cv2,False,False,True,True,False,standalone-SiLU,False,PTQ
/model.22/m.0/m.0.1/attn/qkv/conv/Conv,0.0105627,0.010528,0.656852,model.22,m.0/m.0.1/attn/qkv,True,False,False,False,False,attention,False,PTQ
/model.22/m.0/m.0.1/attn/Reshape,0.0,0.0,0.0,model.22,,False,False,False,False,False,attention,False,PTQ
Reformatting CopyNode for Input Tensor 0 to /model.10/m/m.0/attn/Constant_1_output_0_clone_1 + ONNXTRT_Broadcast_46 + /model.22/m.0/m.0.1/attn/Mul,0.00586784,0.005856,0.364896,model.10,,False,False,False,False,True,reformat,False,PTQ
/model.10/m/m.0/attn/Constant_1_output_0_clone_1 + ONNXTRT_Broadcast_46 + /model.22/m.0/m.0.1/attn/Mul,0.00639287,0.0064,0.397546,model.10,,False,False,False,False,False,attention,False,PTQ
